[00:29:30] [ERR] Failed to check the state of sock (session id: 1e2ea943-b60a-4a3b-91ed-3770abf46bb1, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:29:40] [ERR] Failed to check the state of sock (session id: 1e2ea943-b60a-4a3b-91ed-3770abf46bb1, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:29:50] [ERR] Failed to check the state of sock (session id: 1e2ea943-b60a-4a3b-91ed-3770abf46bb1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:30:00] [ERR] Failed to check the state of sock (session id: 1e2ea943-b60a-4a3b-91ed-3770abf46bb1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:21] [ERR] Failed to check the state of sock (session id: 094b4a68-f3b5-4d56-aa29-2db1429e2d74, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:31] [ERR] Failed to check the state of sock (session id: 094b4a68-f3b5-4d56-aa29-2db1429e2d74, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:41] [ERR] Failed to check the state of sock (session id: 094b4a68-f3b5-4d56-aa29-2db1429e2d74, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:31:51] [ERR] Failed to check the state of sock (session id: 094b4a68-f3b5-4d56-aa29-2db1429e2d74, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:32:01] [ERR] Failed to check the state of sock (session id: 094b4a68-f3b5-4d56-aa29-2db1429e2d74, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:02] [ERR] Failed to check the state of sock (session id: f251a512-031c-495f-9d39-e5d09a2da91d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:12] [ERR] Failed to check the state of sock (session id: f251a512-031c-495f-9d39-e5d09a2da91d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:33:22] [ERR] Failed to check the state of sock (session id: f251a512-031c-495f-9d39-e5d09a2da91d, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:33:32] [ERR] Failed to check the state of sock (session id: f251a512-031c-495f-9d39-e5d09a2da91d, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:33:42] [ERR] Failed to check the state of sock (session id: f251a512-031c-495f-9d39-e5d09a2da91d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:34:43] [ERR] Failed to check the state of sock (session id: 262e4e40-a2ed-439f-ba71-7825b1319a2d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:34:53] [ERR] Failed to check the state of sock (session id: 262e4e40-a2ed-439f-ba71-7825b1319a2d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
