[00:48:19] [ERR] Failed to check the state of sock (session id: b60d70ce-a4af-46f5-8a60-486ca3504436, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:49:20] [ERR] Failed to check the state of sock (session id: f1710b36-9252-42c2-8a08-542acfa22c81, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:49:30] [ERR] Failed to check the state of sock (session id: f1710b36-9252-42c2-8a08-542acfa22c81, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:49:40] [ERR] Failed to check the state of sock (session id: f1710b36-9252-42c2-8a08-542acfa22c81, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:49:50] [ERR] Failed to check the state of sock (session id: f1710b36-9252-42c2-8a08-542acfa22c81, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:50:00] [ERR] Failed to check the state of sock (session id: f1710b36-9252-42c2-8a08-542acfa22c81, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:50:21] [ERR] Failed to check the state of sock (session id: d682ed83-ba0f-4b9e-9c40-0bf188448fcc, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:50:31] [ERR] Failed to check the state of sock (session id: d682ed83-ba0f-4b9e-9c40-0bf188448fcc, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:50:41] [ERR] Failed to check the state of sock (session id: d682ed83-ba0f-4b9e-9c40-0bf188448fcc, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:50:51] [ERR] Failed to check the state of sock (session id: d682ed83-ba0f-4b9e-9c40-0bf188448fcc, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:51:01] [ERR] Failed to check the state of sock (session id: d682ed83-ba0f-4b9e-9c40-0bf188448fcc, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:22] [ERR] Failed to check the state of sock (session id: 11676564-c014-4340-8a63-9e15e279b9dd, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:32] [ERR] Failed to check the state of sock (session id: 11676564-c014-4340-8a63-9e15e279b9dd, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:51:42] [ERR] Failed to check the state of sock (session id: 11676564-c014-4340-8a63-9e15e279b9dd, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:52] [ERR] Failed to check the state of sock (session id: 11676564-c014-4340-8a63-9e15e279b9dd, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:52:02] [ERR] Failed to check the state of sock (session id: 11676564-c014-4340-8a63-9e15e279b9dd, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
