[00:37:09] [ERR] Failed to check the state of sock (session id: a7394db2-71f7-458e-9d5a-1e83c495e6ce, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:38:10] [ERR] Failed to check the state of sock (session id: 517841d7-50d1-4077-80c7-66ff0a7cc06f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:20] [ERR] Failed to check the state of sock (session id: 517841d7-50d1-4077-80c7-66ff0a7cc06f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:30] [ERR] Failed to check the state of sock (session id: 517841d7-50d1-4077-80c7-66ff0a7cc06f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:40] [ERR] Failed to check the state of sock (session id: 517841d7-50d1-4077-80c7-66ff0a7cc06f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:50] [ERR] Failed to check the state of sock (session id: 517841d7-50d1-4077-80c7-66ff0a7cc06f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:39:51] [ERR] Failed to check the state of sock (session id: 7eaf04e4-39bb-4072-a50a-9bf8714c3460, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:01] [ERR] Failed to check the state of sock (session id: 7eaf04e4-39bb-4072-a50a-9bf8714c3460, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:11] [ERR] Failed to check the state of sock (session id: 7eaf04e4-39bb-4072-a50a-9bf8714c3460, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:21] [ERR] Failed to check the state of sock (session id: 7eaf04e4-39bb-4072-a50a-9bf8714c3460, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:31] [ERR] Failed to check the state of sock (session id: 7eaf04e4-39bb-4072-a50a-9bf8714c3460, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:42:02] [ERR] Failed to check the state of sock (session id: b9525c8b-5b36-453f-b550-433fb0aed932, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:42:12] [ERR] Failed to check the state of sock (session id: b9525c8b-5b36-453f-b550-433fb0aed932, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:42:22] [ERR] Failed to check the state of sock (session id: b9525c8b-5b36-453f-b550-433fb0aed932, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:42:32] [ERR] Failed to check the state of sock (session id: b9525c8b-5b36-453f-b550-433fb0aed932, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:42:42] [ERR] Failed to check the state of sock (session id: b9525c8b-5b36-453f-b550-433fb0aed932, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:43:53] [ERR] Failed to check the state of sock (session id: 2146234b-71e6-4985-a575-c50f8b655f6a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:44:03] [ERR] Failed to check the state of sock (session id: 2146234b-71e6-4985-a575-c50f8b655f6a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:44:13] [ERR] Failed to check the state of sock (session id: 2146234b-71e6-4985-a575-c50f8b655f6a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:44:23] [ERR] Failed to check the state of sock (session id: 2146234b-71e6-4985-a575-c50f8b655f6a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:44:33] [ERR] Failed to check the state of sock (session id: 2146234b-71e6-4985-a575-c50f8b655f6a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:45:34] [ERR] Failed to check the state of sock (session id: da990362-bae3-4ca9-9c84-89d52d854193, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:45:44] [ERR] Failed to check the state of sock (session id: da990362-bae3-4ca9-9c84-89d52d854193, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:45:54] [ERR] Failed to check the state of sock (session id: da990362-bae3-4ca9-9c84-89d52d854193, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:46:04] [ERR] Failed to check the state of sock (session id: da990362-bae3-4ca9-9c84-89d52d854193, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:46:14] [ERR] Failed to check the state of sock (session id: da990362-bae3-4ca9-9c84-89d52d854193, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:47:25] [ERR] Failed to check the state of sock (session id: 7ccd22fb-45d8-416d-af5a-06f2a3f44b49, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:47:35] [ERR] Failed to check the state of sock (session id: 7ccd22fb-45d8-416d-af5a-06f2a3f44b49, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:47:45] [ERR] Failed to check the state of sock (session id: 7ccd22fb-45d8-416d-af5a-06f2a3f44b49, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:47:55] [ERR] Failed to check the state of sock (session id: 7ccd22fb-45d8-416d-af5a-06f2a3f44b49, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:48:05] [ERR] Failed to check the state of sock (session id: 7ccd22fb-45d8-416d-af5a-06f2a3f44b49, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:49:36] [ERR] Failed to check the state of sock (session id: e85219ae-d548-4519-93a4-d48597c8bac9, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
